Quantifying_Parameter,Input_Parameter,2D_JS_Score
Porosity,Input1,0.13880098221464243
Porosity,Input2,0.10770860751434944
Porosity,Input3,0.29387059701380097
Porosity,Input4,0.22087032953093533
Porosity,Input5,0.25469187726546355
Porosity,Input6,0.16976734581556596
Porosity,Input7,0.16845000632041024
Porosity,Input8,0.16480989886718106
Porosity,Input9,0.17944216015116563
Porosity,Input10,0.23081975199518695
Porosity,Input11,0.2729409794371243
Porosity,Input12,0.23357570075171247
Porosity,Input13,0.21143278276588456
Porosity,Input14,0.20303628845054217
Porosity,Input15,0.19119557470871618
Mean,Input1,0.1414965318955381
Mean,Input2,0.16232312778370162
Mean,Input3,0.2395653255545941
Mean,Input4,0.1988626655260912
Mean,Input5,0.23284622909724648
Mean,Input6,0.16608638640224543
Mean,Input7,0.1803445015387969
Mean,Input8,0.17503811848440975
Mean,Input9,0.18152862500666528
Mean,Input10,0.21465756299592978
Mean,Input11,0.24399746555751217
Mean,Input12,0.2135646291187192
Mean,Input13,0.19413932925472388
Mean,Input14,0.19009639927040273
Mean,Input15,0.17467623258292875
Variance,Input1,0.1177491942937082
Variance,Input2,0.12772362764941986
Variance,Input3,0.22004703321811947
Variance,Input4,0.16614527181742514
Variance,Input5,0.20779003224898102
Variance,Input6,0.13230738445644755
Variance,Input7,0.15285937256141297
Variance,Input8,0.13957336018939412
Variance,Input9,0.14152189110910918
Variance,Input10,0.16210650839711996
Variance,Input11,0.2096424424869453
Variance,Input12,0.17895416828585348
Variance,Input13,0.1657535413195405
Variance,Input14,0.16495849015454278
Variance,Input15,0.1388777505496806
Skew,Input1,0.17399496348214194
Skew,Input2,0.1830201223403059
Skew,Input3,0.24071555510982823
Skew,Input4,0.2228280896607136
Skew,Input5,0.23495261158292985
Skew,Input6,0.17843614495961266
Skew,Input7,0.19220231837205504
Skew,Input8,0.18165359723740282
Skew,Input9,0.19451403851599464
Skew,Input10,0.21202357155184964
Skew,Input11,0.24331997918334544
Skew,Input12,0.2172651435070116
Skew,Input13,0.21786994935199205
Skew,Input14,0.1866680926081528
Skew,Input15,0.18856887900761737
Kurtosis,Input1,0.12608119249091765
Kurtosis,Input2,0.1341789505353328
Kurtosis,Input3,0.1936661161060348
Kurtosis,Input4,0.1636126321330228
Kurtosis,Input5,0.19305263673419998
Kurtosis,Input6,0.14548349961869173
Kurtosis,Input7,0.1552529900544852
Kurtosis,Input8,0.1505629218599549
Kurtosis,Input9,0.16048828050125608
Kurtosis,Input10,0.16987114289316385
Kurtosis,Input11,0.21248396942556724
Kurtosis,Input12,0.17714961457824835
Kurtosis,Input13,0.16592650160452513
Kurtosis,Input14,0.14989741803094492
Kurtosis,Input15,0.15515298568766328
P10,Input1,0.2563112508935021
P10,Input2,0.24706426944978888
P10,Input3,0.2973911375321868
P10,Input4,0.2901837434721112
P10,Input5,0.31891028123065257
P10,Input6,0.2457287586951285
P10,Input7,0.25541516375688533
P10,Input8,0.25752021493577537
P10,Input9,0.2580658488011516
P10,Input10,0.2994642843010513
P10,Input11,0.32665434018178907
P10,Input12,0.3008897471267009
P10,Input13,0.28729591811592525
P10,Input14,0.28331031321507977
P10,Input15,0.2587110914549906
P20,Input1,0.20534798283039277
P20,Input2,0.21228025502241127
P20,Input3,0.2637456628083643
P20,Input4,0.23718609313318362
P20,Input5,0.27066201670514656
P20,Input6,0.20556487281216507
P20,Input7,0.23062589053818666
P20,Input8,0.21999926936316488
P20,Input9,0.2203668176235993
P20,Input10,0.2561739682015831
P20,Input11,0.28086468247053464
P20,Input12,0.2503900931946508
P20,Input13,0.24647369854863144
P20,Input14,0.23376094717581264
P20,Input15,0.23070357825621213
P30,Input1,0.21007867492646715
P30,Input2,0.22201870368464882
P30,Input3,0.2841707718341734
P30,Input4,0.2595093529868167
P30,Input5,0.28543735882644555
P30,Input6,0.22737101420971323
P30,Input7,0.24316265210939447
P30,Input8,0.23986238686037753
P30,Input9,0.23631333947967614
P30,Input10,0.26721412047897825
P30,Input11,0.288834145294135
P30,Input12,0.26798392207127963
P30,Input13,0.25710719979207447
P30,Input14,0.2462822141263683
P30,Input15,0.2326394131741774
P40,Input1,0.18887511919659372
P40,Input2,0.19402228645830083
P40,Input3,0.26076207110114913
P40,Input4,0.23679026073007375
P40,Input5,0.26296429895222023
P40,Input6,0.2026095171065791
P40,Input7,0.21987755799695752
P40,Input8,0.21171417731436992
P40,Input9,0.2187879454107335
P40,Input10,0.24302310496127716
P40,Input11,0.2742242802601729
P40,Input12,0.2522382093076592
P40,Input13,0.23392093961863267
P40,Input14,0.22941850310372353
P40,Input15,0.2016633798801442
P50,Input1,0.18361277356779293
P50,Input2,0.18758284293704308
P50,Input3,0.25521929215801265
P50,Input4,0.2268922619167505
P50,Input5,0.2607485456324568
P50,Input6,0.18974874354966564
P50,Input7,0.21620501051331534
P50,Input8,0.20991728468277365
P50,Input9,0.2087516024293352
P50,Input10,0.22667855850398907
P50,Input11,0.2680033542513183
P50,Input12,0.2354118359319021
P50,Input13,0.22061531536458542
P50,Input14,0.22666189720868984
P50,Input15,0.20636932140882563
P60,Input1,0.16645950430461512
P60,Input2,0.1763067985863367
P60,Input3,0.24781212058752985
P60,Input4,0.21742266465617013
P60,Input5,0.2483465758920413
P60,Input6,0.18413261785556712
P60,Input7,0.20197019458529053
P60,Input8,0.1982200662548988
P60,Input9,0.19966156673331104
P60,Input10,0.2257390096853441
P60,Input11,0.2513162280194896
P60,Input12,0.22577527867977418
P60,Input13,0.2102980218346181
P60,Input14,0.2117203963369181
P60,Input15,0.2000547281491563
P70,Input1,0.16058175188124982
P70,Input2,0.16685725394088113
P70,Input3,0.25328223518378346
P70,Input4,0.20797592945989957
P70,Input5,0.23904891097886838
P70,Input6,0.17838580987170144
P70,Input7,0.19200894858976109
P70,Input8,0.18662986453217273
P70,Input9,0.18507903556574085
P70,Input10,0.2179787145186351
P70,Input11,0.24941043700247617
P70,Input12,0.22126941038639464
P70,Input13,0.2057645053617071
P70,Input14,0.20951865781972837
P70,Input15,0.18011068554089227
P80,Input1,0.16364097478782474
P80,Input2,0.1696043269642642
P80,Input3,0.251314630351409
P80,Input4,0.20001011562767856
P80,Input5,0.2431809043120913
P80,Input6,0.16976964251667412
P80,Input7,0.1958562833916664
P80,Input8,0.18856460473456774
P80,Input9,0.1866934109249109
P80,Input10,0.21541756242408283
P80,Input11,0.2513818202422723
P80,Input12,0.21835857513890217
P80,Input13,0.20169005285951366
P80,Input14,0.19718305305164147
P80,Input15,0.1889319763448964
P90,Input1,0.13606658105978212
P90,Input2,0.14591219820842283
P90,Input3,0.2447394411612278
P90,Input4,0.1893800528447464
P90,Input5,0.23140754261718477
P90,Input6,0.15666419734522485
P90,Input7,0.18163529805323483
P90,Input8,0.1747947733359848
P90,Input9,0.17273592863581566
P90,Input10,0.2017908129946424
P90,Input11,0.22783128112433743
P90,Input12,0.20916105834865573
P90,Input13,0.18234399019969616
P90,Input14,0.19006714840863018
P90,Input15,0.17079702306419547
P100,Input1,0.13150135460605858
P100,Input2,0.13764068995842765
P100,Input3,0.2277135156566113
P100,Input4,0.17563915806136052
P100,Input5,0.22141574351473126
