Quantifying_Parameter,Input_Parameter,2D_KL_Score
Porosity,Input1,3.595406185547928
Porosity,Input2,3.974566743929813
Porosity,Input3,3.554799155682526
Porosity,Input4,3.6192287558321734
Porosity,Input5,4.409316764450011
Porosity,Input6,3.7750655844354686
Porosity,Input7,3.747118193481246
Porosity,Input8,3.085009487756479
Porosity,Input9,3.1229807405205356
Porosity,Input10,3.365467235173605
Porosity,Input11,3.3780551649475776
Porosity,Input12,3.2959724417641842
Porosity,Input13,3.7525579435436174
Porosity,Input14,3.7588009512791523
Porosity,Input15,3.892611274522526
Mean,Input1,3.01667332646322
Mean,Input2,3.044978290251471
Mean,Input3,3.293480162227155
Mean,Input4,3.236153055712676
Mean,Input5,4.547486000258354
Mean,Input6,3.7459265316576316
Mean,Input7,3.7633767224592116
Mean,Input8,3.170330822571943
Mean,Input9,3.3232225254901344
Mean,Input10,3.0446764154798336
Mean,Input11,3.028448858736665
Mean,Input12,3.1741288229660904
Mean,Input13,3.5864375895542073
Mean,Input14,2.9688704694620585
Mean,Input15,3.6390295227982254
Variance,Input1,2.367762687582055
Variance,Input2,2.5375680788005393
Variance,Input3,2.5615886191374244
Variance,Input4,2.2673417660978967
Variance,Input5,3.3358993283102123
Variance,Input6,3.1152183754144147
Variance,Input7,3.1414796438364663
Variance,Input8,2.5075667764375695
Variance,Input9,2.742720102755942
Variance,Input10,2.237421396043102
Variance,Input11,2.178696403447596
Variance,Input12,2.275039957556774
Variance,Input13,2.3855164298572182
Variance,Input14,2.3544313487992325
Variance,Input15,2.8824185281984613
Skew,Input1,3.8356420970014984
Skew,Input2,3.4810786163692304
Skew,Input3,3.577453032047682
Skew,Input4,3.4292117112215745
Skew,Input5,4.608285431693668
Skew,Input6,4.435273212578232
Skew,Input7,3.9642339834982834
Skew,Input8,3.7241636421010704
Skew,Input9,3.6059776876291503
Skew,Input10,3.687543161902881
Skew,Input11,3.6200978574382003
Skew,Input12,3.4331285024790477
Skew,Input13,3.9236821686984085
Skew,Input14,3.5750299782096886
Skew,Input15,3.874476994319722
Kurtosis,Input1,2.53732642674045
Kurtosis,Input2,2.4153652986297613
Kurtosis,Input3,2.772294220239224
Kurtosis,Input4,2.4783689612191417
Kurtosis,Input5,3.621747364047993
Kurtosis,Input6,3.9013774214617833
Kurtosis,Input7,3.1268840012948087
Kurtosis,Input8,2.8844206074619594
Kurtosis,Input9,2.789224925543961
Kurtosis,Input10,2.4280083241582484
Kurtosis,Input11,2.386260117694327
Kurtosis,Input12,2.5093164545749613
Kurtosis,Input13,2.7894800395281023
Kurtosis,Input14,2.5141290324242433
Kurtosis,Input15,3.1919019429108224
P10,Input1,3.8351903448761187
P10,Input2,3.86486837986759
P10,Input3,4.129387909066336
P10,Input4,3.969501262964519
P10,Input5,5.077555589807415
P10,Input6,4.558574782265789
P10,Input7,4.306181075679428
P10,Input8,3.6161730936032255
P10,Input9,3.484223704837608
P10,Input10,3.66497805397561
P10,Input11,3.6890876838897877
P10,Input12,4.209498498181909
P10,Input13,4.455944181477426
P10,Input14,3.9231000737313817
P10,Input15,3.9680671150762223
P20,Input1,3.470683974395806
