Quantifying_Parameter,Input_Parameter,2D_KL_Score
Porosity,Input1,2.2766401056033514
Porosity,Input2,1.435526087561568
Porosity,Input3,6.270314551926676
Porosity,Input4,4.603511498919474
Porosity,Input5,5.684836248617788
Porosity,Input6,3.4862834113003176
Porosity,Input7,3.3990792356639825
Porosity,Input8,3.5467155490042033
Porosity,Input9,4.043012181492804
Porosity,Input10,4.667584438481944
Porosity,Input11,5.564979297122316
Porosity,Input12,4.328869279974002
Porosity,Input13,3.5534258045564497
Porosity,Input14,3.9697049112589755
Porosity,Input15,2.7072581972007215
Mean,Input1,2.6623756163363383
Mean,Input2,3.044936330791662
Mean,Input3,4.689127049426331
Mean,Input4,4.321279009649345
Mean,Input5,5.200238925951749
Mean,Input6,3.6166208219287546
Mean,Input7,3.9489652884960798
Mean,Input8,4.032544209182506
Mean,Input9,4.299532367151706
Mean,Input10,4.223765965949706
Mean,Input11,4.544050001824868
Mean,Input12,4.012039460605376
Mean,Input13,3.5997663619913602
Mean,Input14,3.5923845056589183
Mean,Input15,2.8354169963221865
Variance,Input1,1.7786472718791109
Variance,Input2,2.344939676943444
Variance,Input3,4.319271875808848
Variance,Input4,3.3432944696451776
Variance,Input5,4.2748463450749705
Variance,Input6,2.648242978120509
Variance,Input7,2.9835686336524336
Variance,Input8,3.0553172039175367
Variance,Input9,3.248225173632759
Variance,Input10,2.622985714598916
Variance,Input11,3.4799307038397576
Variance,Input12,3.0449702914615235
Variance,Input13,2.9177297716784425
Variance,Input14,3.02525312122341
Variance,Input15,1.8534019119187395
Skew,Input1,3.469022488906607
Skew,Input2,3.5288582440863525
Skew,Input3,4.028170937068839
Skew,Input4,4.5522247747401945
Skew,Input5,5.092795511328286
Skew,Input6,3.7090872192011486
Skew,Input7,3.7753508471777537
Skew,Input8,3.8288172786623202
Skew,Input9,4.357213496954438
Skew,Input10,3.8856704320218247
Skew,Input11,4.350372865505417
Skew,Input12,3.8273440495654034
Skew,Input13,4.421762169743739
Skew,Input14,3.758696197852615
Skew,Input15,3.1800737846575102
Kurtosis,Input1,2.462697727117474
Kurtosis,Input2,2.7528821992093935
Kurtosis,Input3,2.9513293003285517
Kurtosis,Input4,3.0413116452587654
Kurtosis,Input5,4.072037655970661
Kurtosis,Input6,3.0045855491790756
Kurtosis,Input7,3.156995068438596
Kurtosis,Input8,3.262558929822268
Kurtosis,Input9,3.512886625966465
Kurtosis,Input10,2.661113450983522
Kurtosis,Input11,3.4951668402459055
