,Porosity,Mean,Variance,Skew,Kurtosis,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Input13,Input14,Input15
Porosity,0.0,0.0242377279238587,0.010208492488237741,0.13957364090634414,0.07122678354843925,0.016045671832511044,0.03745394405360636,0.04035547423096819,0.03259952537213395,0.036508404844159736,0.03361930264276458,0.027162492192212895,0.016765438403547606,0.008158209605524602,0.008810036521856524,0.043995543569817386,0.07026025485833443,0.1325111668862064,0.09293775876746077,0.18570665767420103,0.0071934096191374,0.023163207438906465,0.025320199350965657,0.046615485446278075,0.04092663378962911,0.09668699386815857,0.010247989083382496,0.012989345330874013,0.19667804027636854,0.1555690033816946
Mean,0.0242377279238587,0.0,0.020591178900590035,0.33621064733844824,0.16635687301825108,0.034666875978051404,0.0030176902807994566,0.004233378406420352,0.004668750298227442,0.0033261307229062176,0.001343161880491217,0.0008802608168004822,0.002055672368550532,0.00162004466046628,0.004328610736834326,0.09714069060633584,0.02931760447455639,0.27117707368528954,0.08946183378888237,0.20147462331611513,0.09371381308709598,0.11124383696757847,0.16853733669525273,0.02753309160622855,0.013357761588555655,0.08551313188236556,0.01314676582959735,0.09684721085157989,0.25704936051754806,0.16738782825850784
Variance,0.010208492488237741,0.020591178900590035,0.0,0.21736499460363023,0.11160672955581152,0.12245975310848162,0.05117871274721009,0.024094483776987752,0.01472035413526629,0.00862559152067166,0.00111286578751435,0.003622993415621112,0.004640265434074142,0.008143587266766117,0.022524429362731357,0.1376549878563933,0.012295032873024747,0.308662492459729,0.004247995754473516,0.274213811268859,0.03499640925204517,0.030995596503230083,0.05193964140427021,0.04138329698954579,0.011083549537096594,0.07694833778014275,0.06571383457656012,0.0280854689243041,0.29444624579819195,0.14559136556279423
Skew,0.13957364090634414,0.33621064733844824,0.21736499460363023,0.0,0.5137158473192788,0.3256619232351783,0.34024185656247546,0.33174468669441914,0.3278528663125571,0.32792187067956774,0.3270790766614145,0.319821639399244,0.3179690597474092,0.3150042652977734,0.3064248370908456,0.12379309244176225,0.07812696996947227,0.3965417247472979,0.07029630713353885,0.022353569828372888,0.05139374400242114,0.06049123849743688,0.06402323275237565,0.014782195736105744,0.05964825420059011,0.04570899614072704,0.005030402600171742,0.13462654260069606,0.04222644591575228,0.050249732594382215
Kurtosis,0.07122678354843925,0.16635687301825108,0.11160672955581152,0.5137158473192788,0.0,0.1500167797955524,0.1600970948134509,0.17159137603224806,0.17466700252551542,0.18074308776210657,0.18128366285909747,0.18194423474864257,0.17406188359792418,0.1531610441744421,0.061987747411252014,0.010139948293738932,0.11734994074100233,0.23272053632123446,0.02266789821727521,0.1409423313333999,0.07900006161622944,0.057499787330448866,0.010110751984397412,0.03409442919402862,0.07490248483604467,0.01722351082221994,0.013203149405908617,0.005994391674581952,0.050807134166354025,0.05040822476406067
P10,0.016045671832511044,0.034666875978051404,0.12245975310848162,0.3256619232351783,0.1500167797955524,0.0,0.006437023389851748,0.006406880612501831,0.02840556406448025,0.033652037577748595,0.0477006535480915,0.054185337740110806,0.06090998210471921,0.06249734701345577,0.0636295932979336,0.1075215850064335,0.004395878876791326,0.12560154057444273,0.10430455211831624,0.13772242624689274,0.06308194978593784,0.09326425922832773,0.16738827312942056,0.024239142202382408,0.03167430980866252,0.06076919782829548,0.015618999309691298,0.09465534438397304,0.15381220872931267,0.14687275929890292
P20,0.03745394405360636,0.0030176902807994566,0.05117871274721009,0.34024185656247546,0.1600970948134509,0.006437023389851748,0.0,0.010821453237823797,0.0010978427970059768,1.7011954642209837e-05,0.013550392963217361,0.015241959996033949,0.01578353571262381,0.012970108463147723,0.01147662898847357,0.0734706723299105,0.0401708611868104,0.2133602082774428,0.11580620656991339,0.15061564802795585,0.10299171476774346,0.11675424792669187,0.18444990159868624,0.042293440384019915,0.020132404601952432,0.07116379752038932,0.003765860446698881,0.11078064722703262,0.20271941961274534,0.16003773228734272
P30,0.04035547423096819,0.004233378406420352,0.024094483776987752,0.33174468669441914,0.17159137603224806,0.006406880612501831,0.010821453237823797,0.0,0.015149523539702225,8.315552309423602e-05,0.004547774551811656,0.0030262171001298466,0.00046708668955153243,0.0008927665079488944,0.00018144983527135228,0.07358713339701911,0.03814239599343633,0.2547557499355244,0.11421498916892195,0.17065483881124316,0.10655971423261074,0.11948361808677294,0.17927375345986005,0.03814899496169116,0.013401322941393982,0.07869787391062397,0.0036398278271430953,0.1063136802373897,0.23218006641779776,0.16307503726596947
P40,0.03259952537213395,0.004668750298227442,0.01472035413526629,0.3278528663125571,0.17466700252551542,0.02840556406448025,0.0010978427970059768,0.015149523539702225,0.0,0.012192574439124249,0.0010752841812929903,0.005160753879550173,0.0004256781759875983,0.0038994574455439857,0.0023892435008988633,0.08255991320898604,0.03203192251924525,0.27429381850202866,0.10563946386733561,0.1819798660608588,0.10281207923283486,0.12177513296309878,0.17943901738600723,0.03689746538924385,0.016234319022345643,0.08236386576210235,0.010400699639904904,0.10349713180661882,0.24044338394115064,0.16612500015200504
P50,0.036508404844159736,0.0033261307229062176,0.00862559152067166,0.32792187067956774,0.18074308776210657,0.033652037577748595,1.7011954642209837e-05,8.315552309423602e-05,0.012192574439124249,0.0,0.009264993633135488,0.0017857089522289593,0.00476630725951499,0.003535588904496789,0.003278753349114316,0.08276557191917733,0.034716208494945444,0.2875228501931354,0.09488417777518623,0.1913887645320759,0.09988547617403276,0.12060741331042624,0.17585158141679605,0.034389064900195304,0.011090996162563486,0.0871756878214287,0.0084840983830559,0.10021234255622265,0.258927735133947,0.17214899344881154
