Porosity,Mean,Variance,Skew,Kurtosis,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,,Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Input13,Input14,Input15
0.148376,0.021816835,6.107363485418036e-05,-0.11516085,-0.680760764,0.0115,0.0143,0.0174,0.0198,0.0219,0.0244,0.0267,0.029,0.032,0.0402,,0.397150117,0.4521010104566813,0.7976997251495719,0.044203235,0.1333271676301956,0.059203235,0.074203235,0.102209838,0.1178664036855101,0.8476397115051747,0.9915946519076824,0.8470695325016976,0.05421695,0.067378791,0.071714806
0.145053,0.019930704,6.290889235362987e-05,-0.024589966,-0.780578485,0.0094,0.012,0.0152,0.0175,0.0202,0.0223,0.0249,0.0272,0.0307,0.0369,,0.3944991253316403,0.4547074735164642,0.7125017518702894,0.047882539,0.1320433117449283,0.062886561,0.077886561,0.093451387,0.1103662668988108,0.8250682037085295,0.9946440248668194,0.8510333981871605,0.083669944,0.088649321,0.064919047
0.143195,0.019118545,7.074885540275385e-05,-0.094956055,-0.841880575,0.0068,0.0111,0.0141,0.0172,0.0193,0.0224,0.0244,0.027,0.0303,0.0388,,0.3821263965964317,0.4695616334676742,0.5197345787912607,0.044969734,0.1453534996509552,0.059969734,0.074969734,0.089969734,0.1098493592403829,0.983474642,0.8167034795045853,0.8272278032302857,0.065886605,0.093446824,0.096674024
0.143636,0.019263042,7.549240750353405e-05,0.065676525,-0.653488987,0.0071,0.0111,0.0141,0.0166,0.0196,0.022,0.0242,0.0272,0.0308,0.0416,,0.3772246165573597,0.4730790510773658,0.5350827223330736,0.04160796,0.1402456724643707,0.058553258,0.073590185,0.094985066,0.1104828232437372,0.8175491615653039,0.9486567353785038,0.820475866,0.054222372,0.089010632,0.090976627
0.144492,0.018988252,5.572121496308618e-05,-0.017274706,-0.783463723,0.009,0.0116,0.0146,0.0167,0.0193,0.0212,0.0233,0.026,0.0291,0.0372,,0.4015331533551216,0.4496358063770458,0.7452471084706485,0.039370814,0.1198880755901336,0.054373773,0.073176417,0.088291774,0.1048761115223169,0.8343418917715549,0.9918870418727398,0.908708056,0.06078541,0.084797559,0.069948788
0.143446,0.020045611,5.859515609476777e-05,-0.04416369,-0.820718989,0.0097,0.0128,0.0152,0.0175,0.0201,0.0223,0.0248,0.0275,0.0305,0.0363,,0.4022531475126743,0.4485011652112007,0.7593875950880349,0.04496921,0.1265306714177131,0.05996921,0.07496921,0.08996921,0.106810105,0.8490433722406626,0.9765055814683438,0.8197882637798787,0.081945434,0.079899523,0.077396765
0.144348,0.02208263,8.570416285183281e-05,0.2383927803026848,-0.479625536,0.0101,0.0133,0.0162,0.0187,0.0215,0.0243,0.0273,0.0309,0.0348,0.0481,,0.3896886128187179,0.4592272415757179,0.7325437362067401,0.044205744,0.1421468961238861,0.059205744,0.086808222,0.1088633101731538,0.1271090770214796,0.860259662,0.988190795,0.8906755026996136,0.060630832,0.088685385,0.081978971
0.144228,0.019174827,6.19142679109898e-05,0.09291605,-0.639061309,0.0083,0.0125,0.0145,0.0167,0.0188,0.0216,0.0239,0.0263,0.0299,0.0424,,0.379350144,0.4672626912593841,0.7375572950905189,0.037224617,0.1319109146296978,0.052225912,0.075515807,0.090658633,0.1056714779943227,0.8183665164887906,0.9941706953883171,0.9234025568500162,0.053191598,0.057712617,0.093695915
0.143927,0.020572533,7.262837258017598e-05,0.1330055830845339,-0.661687683,0.009,0.0121,0.0156,0.0178,0.0201,0.0229,0.0258,0.0286,0.0319,0.0436,,0.3883674348518252,0.4599679261445999,0.7218358884926419,0.044477726,0.1416613090038299,0.059477726,0.074477726,0.089477726,0.1266195593088865,0.9686202504694462,0.9893321606993676,0.8162588387072087,0.05591686,0.066031058,0.070538891
0.138977,0.019556756,7.569882613852135e-05,-0.022723979,-0.77653403,0.0072,0.0115,0.0144,0.0169,0.0197,0.0225,0.0248,0.0275,0.0313,0.0419,,0.3937721571326256,0.4605020686984062,0.5333176383823156,0.040493792,0.1419903099536895,0.060863536,0.076104664,0.091324454,0.1203282330334186,0.8107551869571209,0.8310819215714932,0.9194128739237786,0.053892398,0.095947804,0.09459536
