Porosity,Mean,Variance,Skew,Kurtosis,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,,Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Input13,Input14,Input15
0.14421,0.020482757,5.3593125843131e-05,-0.134188702,-0.670293487,0.0105,0.0146,0.0158,0.0194,0.0206,0.0224,0.0249,0.0266,0.0304,0.0367,,0.397150117,0.4521010104566813,0.7976997251495719,0.044203235,0.1333271676301956,0.059203235,0.074203235,0.102209838,0.1178664036855101,0.8476397115051747,0.9915946519076824,0.8470695325016976,0.05421695,0.067378791,0.071714806
0.144485,0.019603621,6.480744498324261e-05,-0.08806685,-0.879591953,0.0098,0.011,0.015,0.0167,0.0199,0.0218,0.0249,0.0266,0.0305,0.0364,,0.3944991253316403,0.4547074735164642,0.7125017518702894,0.047882539,0.1320433117449283,0.062886561,0.077886561,0.093451387,0.1103662668988108,0.8250682037085295,0.9946440248668194,0.8510333981871605,0.083669944,0.088649321,0.064919047
0.141964,0.018450352,6.606436017886869e-05,-0.017951614,-0.909410275,0.0064,0.0107,0.0147,0.016,0.0197,0.0211,0.0245,0.0258,0.0294,0.0374,,0.3821263965964317,0.4695616334676742,0.5197345787912607,0.044969734,0.1453534996509552,0.059969734,0.074969734,0.089969734,0.1098493592403829,0.983474642,0.8167034795045853,0.8272278032302857,0.065886605,0.093446824,0.096674024
0.142362,0.018817025,7.092453637104007e-05,0.094181574,-0.685737715,0.0067,0.0111,0.0147,0.0161,0.0196,0.0215,0.0244,0.0259,0.0303,0.0433,,0.3772246165573597,0.4730790510773658,0.5350827223330736,0.04160796,0.1402456724643707,0.058553258,0.073590185,0.094985066,0.1104828232437372,0.8175491615653039,0.9486567353785038,0.820475866,0.054222372,0.089010632,0.090976627
0.144284,0.01838402,5.5172482037483774e-05,0.012727246,-0.740007352,0.0101,0.0111,0.0151,0.0162,0.0192,0.0208,0.0223,0.0257,0.0285,0.0381,,0.4015331533551216,0.4496358063770458,0.7452471084706485,0.039370814,0.1198880755901336,0.054373773,0.073176417,0.088291774,0.1048761115223169,0.8343418917715549,0.9918870418727398,0.908708056,0.06078541,0.084797559,0.069948788
0.142481,0.019415139,5.835832682588999e-05,-0.058468672,-0.780847377,0.0102,0.0121,0.015,0.0168,0.0203,0.0215,0.0249,0.0262,0.0296,0.0354,,0.4022531475126743,0.4485011652112007,0.7593875950880349,0.04496921,0.1265306714177131,0.05996921,0.07496921,0.08996921,0.106810105,0.8490433722406626,0.9765055814683438,0.8197882637798787,0.081945434,0.079899523,0.077396765
0.143816,0.022061061,8.875059133609835e-05,0.094731071,-0.709558719,0.0103,0.013,0.0164,0.0195,0.0215,0.0255,0.0269,0.0305,0.0355,0.045,,0.3896886128187179,0.4592272415757179,0.7325437362067401,0.044205744,0.1421468961238861,0.059205744,0.086808222,0.1088633101731538,0.1271090770214796,0.860259662,0.988190795,0.8906755026996136,0.060630832,0.088685385,0.081978971
0.143727,0.018755078,6.565343456817432e-05,0.1777713939464234,-0.510356446,0.0088,0.0113,0.0147,0.016,0.0189,0.0212,0.0237,0.0258,0.0298,0.043,,0.379350144,0.4672626912593841,0.7375572950905189,0.037224617,0.1319109146296978,0.052225912,0.075515807,0.090658633,0.1056714779943227,0.8183665164887906,0.9941706953883171,0.9234025568500162,0.053191598,0.057712617,0.093695915
0.142627,0.020339814,7.922419803252957e-05,0.1402195033213467,-0.670191951,0.0096,0.0123,0.0143,0.0169,0.0203,0.0224,0.025,0.0283,0.0324,0.0461,,0.3883674348518252,0.4599679261445999,0.7218358884926419,0.044477726,0.1416613090038299,0.059477726,0.074477726,0.089477726,0.1266195593088865,0.9686202504694462,0.9893321606993676,0.8162588387072087,0.05591686,0.066031058,0.070538891
0.138372,0.019251677,7.778546639240782e-05,0.098534207,-0.80225214,0.0066,0.0108,0.0143,0.0157,0.0199,0.0211,0.0254,0.0274,0.0312,0.0412,,0.3937721571326256,0.4605020686984062,0.5333176383823156,0.040493792,0.1419903099536895,0.060863536,0.076104664,0.091324454,0.1203282330334186,0.8107551869571209,0.8310819215714932,0.9194128739237786,0.053892398,0.095947804,0.09459536
0.168959,0.022782439,0.000111521,0.1688659293798441,-0.662153812,0.0097,0.0121,0.0159,0.0195,0.0222,0.0256,0.0284,0.0318,0.0373,0.0502,,0.3863844444975257,0.4406431533396244,0.5135838036060333,0.043859807,0.1380098813772201,0.058859807,0.092392068,0.1075251941770315,0.1229192275553941,0.8284682710319757,0.9053833755873144,0.8217200835168362,0.081227461,0.087922219,0.07664006
0.159407,0.021288077,7.466751827584116e-05,0.053409824,-0.690846443,0.0102,0.0125,0.0158,0.0201,0.0212,0.0238,0.0255,0.0291,0.0329,0.0424,,0.4161002695560455,0.418843675,0.6936831049203872,0.03929519,0.1425359714031219,0.060746028,0.097535971,0.1125359714031219,0.1275359714031219,0.8454421504616738,0.8396499288499355,0.960251351,0.079533425,0.082284712,0.090536476
0.156161,0.019342021,7.591315456993547e-05,0.077503577,-0.826321363,0.0067,0.0109,0.0144,0.0163,0.0197,0.0217,0.0252,0.0272,0.0313,0.0406,,0.3731270104646683,0.4622213579714298,0.6290480591252446,0.037710907,0.115788437,0.055788437,0.070788437,0.085788437,0.100788437,0.9296609128832816,0.8372762789607048,0.8266780476927758,0.07874968,0.083329001,0.08388825
0.170148,0.021473977,7.357797011571103e-05,0.023550983,-0.713160989,0.0102,0.0142,0.0156,0.0197,0.0209,0.0251,0.0266,0.0296,0.0326,0.0412,,0.3652897796034813,0.4563637517392635,0.7354619053881615,0.037471712,0.1288730847090482,0.052471712,0.068586436,0.098873085,0.1138730847090482,0.8981119663320482,0.8064914455771446,0.9433957821011544,0.075311734,0.080429348,0.084952334
0.159798,0.020675879,7.175426679334438e-05,-0.030449152,-0.726590725,0.0097,0.0122,0.0156,0.0185,0.0211,0.0236,0.0254,0.028,0.0319,0.0427,,0.412176023,0.4167312324047089,0.6539325571507215,0.036905969,0.1419524991512298,0.061110033,0.078204693,0.09398354,0.1234889820843934,0.9287367789909244,0.978991611,0.9525921562790872,0.059573217,0.083687387,0.082804479
0.149121,0.022173617,9.44082474775218e-05,-0.042691363,-0.848889606,0.0093,0.0124,0.0161,0.0205,0.0222,0.0252,0.0278,0.0316,0.0348,0.0433,,0.4102952280640602,0.4268393740057945,0.5217825141549111,0.044681655,0.1343172344565391,0.074180672,0.089195798,0.1042105152025818,0.1192115377753973,0.8572287738904357,0.9098961118221284,0.952626323,0.063101217,0.092667479,0.088517333
0.16763,0.023098433,8.711541954170603e-05,-0.000422023,-0.726178008,0.0113,0.0139,0.0173,0.0204,0.023,0.0258,0.028,0.0321,0.0354,0.0458,,0.3827055048942566,0.4413555555045604,0.6892334655448794,0.045999715,0.1454661679267883,0.060999715,0.075999715,0.1081657146215439,0.1304661679267883,0.8598498495101929,0.931822537,0.988503175,0.052090294,0.085342301,0.097097913
0.169354,0.0218496,9.822424656916867e-05,0.1122655393669053,-0.71003396,0.0093,0.0111,0.0153,0.0199,0.0215,0.0247,0.0272,0.0308,0.0353,0.0469,,0.3512777850031853,0.4725492164492607,0.5640969246983528,0.040666906,0.1350098139047622,0.055666906,0.077155826,0.0995465,0.1199988675996661,0.8462503963917494,0.8189201567590236,0.8958975409410894,0.0685066,0.067456454,0.067971392
0.156278,0.020126408,7.926995614111828e-05,0.1173651738762255,-0.579360251,0.0071,0.0109,0.0147,0.0174,0.0207,0.022,0.0252,0.028,0.0318,0.0474,,0.3999891646206379,0.4310693114995956,0.5383939400553703,0.04057912,0.1404608905315399,0.05557912,0.07057912,0.08557912,0.1242533008188009,0.8551763997167349,0.8570307330667972,0.8509873400986195,0.057967718,0.084274574,0.092350009
0.16733,0.021675568,8.491370241611788e-05,0.024573639,-0.753131677,0.0098,0.0124,0.016,0.02,0.0218,0.0248,0.0266,0.0307,0.0337,0.0433,,0.4076542088389396,0.4197998464107513,0.6308372199565172,0.047526841,0.1225268410146236,0.062526841,0.077526841,0.092526841,0.1075268410146236,0.981779058,0.9707029411256314,0.9110387482732536,0.053410989,0.071801953,0.062189958
0.184431,0.02156757,8.767410884269076e-05,0.005891495,-0.749650154,0.0095,0.0126,0.0162,0.0194,0.0214,0.0254,0.0267,0.0302,0.0342,0.045,,0.3898046686500311,0.4152458131313324,0.5336512837707996,0.042921851,0.1234077227115631,0.062276103,0.078329594,0.093353759,0.1084062889128923,0.9429173906549811,0.9664977096199988,0.8349489669024944,0.056310523,0.068464563,0.086652719
0.180613,0.023968208,7.262773175200962e-05,-0.129421384,-0.628608627,0.012,0.016,0.0203,0.0218,0.0246,0.0261,0.0296,0.0318,0.0351,0.0433,,0.3917429885268211,0.4157314628362656,0.7674376796498894,0.04502115,0.1381858623027801,0.060024431,0.075054589,0.1081030162632465,0.1231048759371042,0.8791528505973518,0.8581107431411743,0.9934716662704944,0.072543481,0.076318349,0.090253279
0.179649,0.024410458,9.07382491025966e-05,0.044214067,-0.583628009,0.011,0.0152,0.02,0.0221,0.0244,0.0267,0.0302,0.0331,0.0366,0.0495,,0.3889540783688426,0.4195454508066177,0.7212250044506975,0.043729278,0.1257201740145683,0.058729278,0.073729278,0.095720174,0.1107201740145683,0.9513579453974962,0.9932993013620376,0.9373405249029398,0.080652023,0.089667682,0.093712914
0.178262,0.02858898,0.000131664,0.1605406375820633,-0.54147119,0.0132,0.018,0.0211,0.0246,0.0283,0.0318,0.035,0.0395,0.0441,0.0577,,0.3600935742259025,0.4511989307589829,0.7467983936760575,0.048781016,0.1446106481552124,0.063781016,0.07969629,0.09469629,0.1096962898850441,0.8153719870328904,0.8140764892876149,0.8222450504541398,0.059726262,0.098369248,0.094612043
0.181689,0.022095549,9.660781491276732e-05,0.1226942289546625,-0.584401384,0.0095,0.0118,0.0158,0.0202,0.0217,0.0248,0.0272,0.0309,0.0353,0.0472,,0.3556447470188141,0.4542820937931537,0.5273251554518938,0.042277107,0.1268352830410003,0.057277107,0.072277107,0.096835283,0.1118352830410003,0.9628561461627484,0.9889060206651688,0.8355355629563332,0.054101454,0.091839603,0.094304427
0.180797,0.022791446,8.428079444364428e-05,0.021352778,-0.764270682,0.0109,0.0149,0.0168,0.0207,0.0225,0.0253,0.0277,0.0316,0.0351,0.043,,0.3631006523966789,0.4497452525887638,0.6944107922807335,0.046436813,0.1214368131756782,0.061436813,0.076436813,0.091436813,0.1064368131756782,0.864646944,0.9733111627459526,0.8109332494080067,0.067544389,0.093974027,0.089182275
0.176939,0.021159097,7.094928136613151e-05,0.049538895,-0.693576958,0.0102,0.0139,0.0157,0.0194,0.0209,0.0244,0.0259,0.029,0.0327,0.0406,,0.3741074432432651,0.4421219579875469,0.7283684561263304,0.036020476,0.114772595,0.054772595,0.069772595,0.084772595,0.099772595,0.8257225797355175,0.9753611853420734,0.9918520352244378,0.067152328,0.063808625,0.096306322
0.170698,0.023235839,7.54384406672893e-05,-0.084236424,-0.78256654,0.0113,0.0152,0.0178,0.021,0.0236,0.0253,0.0282,0.0315,0.0355,0.0424,,0.4137344568967819,0.4073531836271286,0.7184292006704025,0.037641496,0.1354757785797119,0.073653325,0.090315299,0.1054013461999595,0.1204581108763813,0.8421389339596034,0.8478629524171353,0.9816181363582612,0.072500748,0.076212801,0.078783993
0.184172,0.023661842,8.202006737766018e-05,0.063760546,-0.545165212,0.0107,0.015,0.0197,0.0211,0.0241,0.0257,0.0291,0.0316,0.0357,0.0472,,0.3684615248441696,0.4410579279065132,0.7386091324483975,0.035760322,0.1233520078659057,0.063352008,0.078352008,0.093352008,0.1083520078659057,0.8103133858829737,0.9430213719397784,0.9919632891774176,0.081399037,0.085676409,0.07841869
0.184448,0.023602483,7.45501174955529e-05,0.021204658,-0.391812185,0.011,0.0155,0.0195,0.0215,0.0246,0.0262,0.0285,0.0309,0.0349,0.0482,,0.3585770320892334,0.4500931097834836,0.7761795406334102,0.038944309,0.1382542610168457,0.055189905,0.070228259,0.1048495832622051,0.1198495832622051,0.8490812975853682,0.8416576268315316,0.9816611100137234,0.076839295,0.079684115,0.076568413
0.137245,0.018070212,6.775921908430709e-05,0.1323778208597105,-0.672440736,0.0065,0.0108,0.0125,0.0157,0.0179,0.0209,0.0228,0.0255,0.0291,0.043,,0.3907220263034105,0.4623173348605633,0.5170666486769915,0.038726216,0.1396364212036132,0.053863478,0.081799603,0.096990004,0.1133787623381242,0.8624706600219012,0.955751307,0.8142248158633709,0.07425474,0.077539665,0.063047229
