Param_1,Param_2,Param_3,Param_4,Param_5,Param_6,Param_7,Param_8,Param_9,Param_10,Param_11,Param_12,Param_13,Param_14,Param_15,Porosity,Mean,Variance,Skew,Kurtosis,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100
0.3978,0.4054,0.5992,0.0378,0.117,0.0547,0.075,0.0816,0.098,0.8332,0.8996,0.9165,0.0507,0.0592,0.0736,0.19013,0.020318071,7.16e-05,0.037308989,-0.680371156,0.0093,0.0118,0.0151,0.0181,0.0206,0.0224,0.0251,0.0279,0.0316,0.0415
0.4143,0.4626,0.9127,0.048,0.1187,0.0531,0.0857,0.0859,0.1054,0.8937,0.8255,0.8515,0.0502,0.0691,0.0788,0.111624,0.022435789,6.09e-05,-0.267207649,-0.498890755,0.0113,0.0152,0.0189,0.0205,0.0225,0.0253,0.0269,0.03,0.0325,0.0403
0.3799,0.4835,0.7774,0.039,0.1424,0.0564,0.0674,0.1045,0.1141,0.8606,0.8012,0.9513,0.0539,0.0652,0.0745,0.128578,0.018613862,5.73e-05,0.023303692,-0.688686872,0.0088,0.0112,0.0143,0.016,0.0193,0.0207,0.0235,0.0255,0.0285,0.0403
0.4165,0.4319,0.904,0.0401,0.1425,0.0588,0.077,0.0941,0.123,0.8524,0.9376,0.8298,0.0622,0.0647,0.087,0.136675,0.023852131,6.72e-05,-0.292319358,-0.46116629,0.0126,0.0157,0.02,0.0212,0.0253,0.0266,0.029,0.0313,0.0344,0.0412
0.3661,0.4371,0.6478,0.0442,0.1318,0.0702,0.0851,0.0963,0.1172,0.945,0.8069,0.9963,0.0504,0.0632,0.0959,0.191626,0.025152475,0.000109798,0.06031459,-0.72222913,0.0109,0.0153,0.019,0.0216,0.0252,0.0275,0.0312,0.0352,0.0398,0.0502
0.4098,0.4145,0.5807,0.0468,0.1458,0.0596,0.0975,0.0998,0.1228,0.8256,0.8236,0.9519,0.0544,0.062,0.0882,0.16653,0.020173041,7.01e-05,-0.092029962,-0.850783898,0.0088,0.0114,0.0147,0.0177,0.0209,0.0227,0.0256,0.0275,0.0312,0.0391
0.3793,0.4143,0.7937,0.0419,0.1258,0.0604,0.0837,0.0945,0.1182,0.8883,0.9841,0.958,0.0606,0.0734,0.093,0.199946,0.028231296,9.98e-05,-0.043583648,-0.419022314,0.0152,0.0197,0.0224,0.0255,0.0287,0.0312,0.0341,0.0367,0.041,0.0524
0.3556,0.4137,0.6212,0.0467,0.1192,0.0656,0.0675,0.1046,0.1092,0.8879,0.9833,0.8819,0.0514,0.0863,0.0993,0.223118,0.02668807,0.000114549,0.018650485,-0.77590672,0.0118,0.0163,0.0204,0.024,0.0262,0.0298,0.0331,0.0363,0.0417,0.0524
0.3826,0.4953,0.5732,0.0382,0.1237,0.0548,0.0844,0.0943,0.1159,0.9162,0.8862,0.8128,0.064,0.0695,0.0753,0.11232,0.017410225,6.58e-05,0.234605892,-0.598812589,0.0064,0.0103,0.0119,0.0151,0.0165,0.0204,0.0216,0.0246,0.0275,0.0424
0.3842,0.4826,0.7432,0.0404,0.1422,0.0676,0.076,0.0988,0.1305,0.9411,0.8136,0.9941,0.0564,0.0637,0.0884,0.122524,0.019795728,7.13e-05,0.021765003,-0.793832958,0.0086,0.0112,0.0145,0.0168,0.0208,0.0221,0.0247,0.027,0.0314,0.0394
0.3796,0.49,0.7216,0.0351,0.1165,0.0449,0.0758,0.0844,0.1055,0.8553,0.9107,0.9076,0.0677,0.0716,0.0771,0.119845,0.016629254,5.79e-05,0.267432916,-0.459799932,0.0063,0.0098,0.0116,0.0146,0.0161,0.0194,0.0209,0.0237,0.0265,0.0409
0.4045,0.4153,0.8242,0.0381,0.1473,0.0604,0.0905,0.1112,0.1186,0.9661,0.8673,0.936,0.0571,0.0582,0.0856,0.167224,0.025918079,8.49e-05,-0.06485251,-0.51261878,0.0138,0.0175,0.0209,0.024,0.0256,0.0285,0.0312,0.0349,0.0381,0.0472
0.3857,0.4589,0.7357,0.0491,0.1415,0.0617,0.0776,0.1012,0.1243,0.9669,0.8981,0.8488,0.0711,0.0868,0.0964,0.148329,0.022084708,8.07e-05,0.041250843,-0.67189946,0.0105,0.0146,0.0162,0.0204,0.0219,0.0249,0.0269,0.0306,0.0341,0.043
0.355,0.4286,0.8221,0.0361,0.1251,0.0519,0.0702,0.0829,0.1041,0.9897,0.8191,0.8136,0.0552,0.067,0.0959,0.2119,0.024225994,6.99e-05,-0.123326307,-0.511355873,0.0125,0.0162,0.0204,0.0217,0.0244,0.026,0.0291,0.032,0.0356,0.0427
0.4051,0.4158,0.6681,0.0412,0.1482,0.0696,0.0812,0.1036,0.1273,0.9027,0.8182,0.9459,0.0516,0.0811,0.0974,0.17012,0.023537958,9.4e-05,-0.030751554,-0.821650618,0.0113,0.0139,0.0171,0.0206,0.0237,0.0258,0.03,0.0328,0.036,0.0461
0.3783,0.4918,0.6505,0.0444,0.1269,0.07,0.0762,0.0945,0.1099,0.9814,0.9734,0.9414,0.0847,0.0926,0.0991,0.121171,0.0214882,9.64e-05,0.083145028,-0.845009673,0.0092,0.0124,0.0147,0.0194,0.021,0.024,0.0266,0.0311,0.0348,0.0461
0.3948,0.4853,0.8961,0.0391,0.1442,0.0512,0.0661,0.0937,0.1249,0.949,0.8907,0.9323,0.0546,0.0851,0.095,0.112956,0.021430305,6.77e-05,0.155079563,-0.300226236,0.0113,0.0153,0.0166,0.0194,0.0209,0.023,0.026,0.0281,0.0323,0.045
0.3721,0.4478,0.9036,0.0401,0.1397,0.074,0.0756,0.0932,0.1103,0.9439,0.916,0.8713,0.0602,0.0618,0.0991,0.171527,0.031749374,0.000114824,-0.331083732,-0.316116611,0.0173,0.0222,0.026,0.03,0.0332,0.0356,0.0379,0.0412,0.0453,0.0541
0.4116,0.4057,0.8606,0.048,0.1198,0.0574,0.0775,0.0896,0.0988,0.8628,0.8984,0.8476,0.0668,0.0709,0.098,0.17511,0.026642418,7.93e-05,-0.280059335,-0.431030838,0.0142,0.0197,0.0213,0.0242,0.0263,0.0301,0.0322,0.0347,0.0377,0.0461
0.3743,0.4421,0.7826,0.046,0.127,0.0554,0.0874,0.0968,0.1068,0.9288,0.9074,0.828,0.0608,0.0747,0.0904,0.170696,0.025273679,9.05e-05,-0.006940322,-0.677573779,0.0112,0.016,0.0205,0.022,0.0252,0.0277,0.0311,0.0348,0.0371,0.0474
0.4018,0.4179,0.5406,0.0366,0.1413,0.0616,0.08,0.1066,0.1323,0.8045,0.8074,0.893,0.0692,0.0854,0.0901,0.166412,0.021100386,8.68e-05,-0.012200015,-0.898020032,0.0088,0.0118,0.0151,0.0195,0.0208,0.0251,0.0268,0.0304,0.0338,0.0412
0.4087,0.4788,0.7746,0.0477,0.1492,0.0738,0.0988,0.11,0.1162,0.9399,0.8093,0.8699,0.0614,0.067,0.0838,0.104394,0.020380738,7.77e-05,0.123504177,-0.731101855,0.0092,0.0118,0.0149,0.0173,0.0203,0.022,0.0259,0.0285,0.032,0.0412
0.3592,0.4151,0.5028,0.0401,0.127,0.0623,0.074,0.0937,0.108,0.9947,0.8119,0.8866,0.0682,0.0765,0.0828,0.217349,0.022953966,9.99e-05,0.027809037,-0.764787418,0.0097,0.0136,0.0166,0.0206,0.023,0.0254,0.0288,0.0319,0.0364,0.0472
0.3599,0.4941,0.6462,0.0409,0.1191,0.0539,0.0743,0.0863,0.1024,0.9891,0.807,0.9205,0.052,0.0726,0.089,0.138374,0.018082688,6.7e-05,0.100909157,-0.767671843,0.0064,0.0107,0.0126,0.0159,0.018,0.0208,0.0226,0.0259,0.029,0.0381
0.3993,0.4934,0.7988,0.0457,0.1244,0.0567,0.0693,0.0954,0.111,0.8459,0.9467,0.9176,0.0579,0.0787,0.0941,0.096919,0.016771168,5.31e-05,0.08529907,-0.8114064,0.0062,0.0108,0.012,0.0147,0.0162,0.0201,0.0211,0.0232,0.026,0.035
0.3833,0.4755,0.6866,0.0454,0.1211,0.0588,0.0628,0.0923,0.1009,0.9521,0.913,0.8189,0.0727,0.0962,0.0994,0.135322,0.018614582,6.53e-05,-0.010053726,-0.855130976,0.0065,0.0109,0.0151,0.0163,0.02,0.0211,0.0245,0.0262,0.0296,0.0381
0.3894,0.4235,0.765,0.0427,0.1488,0.0637,0.0888,0.0949,0.1167,0.8017,0.9702,0.8302,0.0613,0.0795,0.0801,0.179514,0.024109434,7.6e-05,-0.045173043,-0.63147064,0.0124,0.0162,0.0194,0.0213,0.0253,0.0264,0.0293,0.032,0.036,0.045
0.3793,0.4503,0.8857,0.0487,0.1135,0.0669,0.0815,0.0894,0.103,0.8223,0.8289,0.926,0.0565,0.0893,0.0999,0.163726,0.027954057,8.68e-05,-0.31695374,-0.422023575,0.0149,0.0204,0.023,0.0255,0.0285,0.0311,0.0343,0.0363,0.0399,0.0472
0.3748,0.4893,0.9498,0.0476,0.1252,0.0668,0.0851,0.0944,0.1029,0.9212,0.9337,0.8161,0.0617,0.0625,0.0907,0.126855,0.029006844,0.000103686,-0.22216127,-0.177867369,0.0159,0.0211,0.0249,0.0263,0.0297,0.0325,0.0352,0.0375,0.0415,0.0541
0.4026,0.4972,0.9121,0.0447,0.1304,0.0674,0.0874,0.0935,0.1212,0.8359,0.8955,0.8819,0.0792,0.0838,0.0988,0.091378,0.022469945,6.42e-05,-0.079557211,-0.465923326,0.0113,0.0151,0.0187,0.0206,0.0222,0.0247,0.0272,0.0296,0.0327,0.0415
0.3904,0.4285,0.8992,0.0367,0.1394,0.0643,0.0863,0.1,0.1263,0.8379,0.8818,0.802,0.0773,0.078,0.0977,0.168362,0.029349622,9.11e-05,-0.401369371,-0.252310307,0.0162,0.021,0.0244,0.027,0.0302,0.0326,0.0354,0.0377,0.0414,0.0512
0.3545,0.4541,0.8085,0.0446,0.1327,0.0622,0.0703,0.0803,0.1061,0.8906,0.8763,0.8459,0.0781,0.0929,0.0932,0.186651,0.028002118,9.7e-05,-0.060251519,-0.396428747,0.0141,0.0207,0.0227,0.0251,0.0281,0.0308,0.0337,0.0365,0.0407,0.057
0.3997,0.4911,0.5722,0.0369,0.1179,0.0524,0.0779,0.085,0.1046,0.9911,0.917,0.9268,0.0694,0.0771,0.0821,0.10256,0.015830902,5.32e-05,0.180561883,-0.80886129,0.0059,0.0098,0.0113,0.015,0.0159,0.0178,0.0201,0.0221,0.026,0.0335
0.3978,0.4239,0.5821,0.0485,0.1373,0.0572,0.0862,0.108,0.1195,0.9576,0.9576,0.9896,0.0531,0.0626,0.0824,0.16999,0.022897998,0.000102009,0.064185306,-0.713319464,0.0097,0.0136,0.0164,0.0207,0.023,0.0256,0.0286,0.0319,0.0362,0.0474
0.3556,0.4962,0.8705,0.0439,0.146,0.0695,0.0761,0.1161,0.1293,0.9493,0.9673,0.8263,0.0502,0.0709,0.0714,0.139043,0.028994729,0.000160992,0.812528433,1.394737741,0.0131,0.0187,0.0214,0.0243,0.0279,0.0311,0.0343,0.0387,0.0442,0.0745
0.4051,0.4334,0.8208,0.0457,0.1297,0.0701,0.0861,0.0948,0.1097,0.8127,0.9189,0.8028,0.0767,0.0769,0.0951,0.155738,0.024787616,7.73e-05,-0.125635869,-0.674463346,0.0124,0.0163,0.0206,0.022,0.025,0.027,0.0306,0.0333,0.0363,0.043
0.3772,0.4697,0.8002,0.044,0.1285,0.0545,0.0871,0.1017,0.114,0.9992,0.8184,0.9932,0.0615,0.0627,0.0899,0.145325,0.022968589,9.02e-05,0.281497826,-0.442150072,0.0105,0.0143,0.0162,0.0206,0.0221,0.0256,0.0278,0.031,0.0358,0.0485
0.3999,0.4924,0.6963,0.0441,0.1239,0.0662,0.074,0.0918,0.1146,0.979,0.9061,0.9325,0.0594,0.0658,0.0932,0.09756,0.017859088,6.73e-05,0.080079627,-0.90708639,0.0062,0.0109,0.0124,0.0153,0.0176,0.0208,0.0224,0.026,0.0292,0.0357
0.389,0.4818,0.8862,0.0358,0.1417,0.061,0.0641,0.0909,0.1248,0.9499,0.9422,0.9054,0.074,0.0753,0.0791,0.12215,0.023414042,7.5e-05,0.009607466,-0.560260839,0.0117,0.0156,0.0186,0.021,0.0234,0.0253,0.0277,0.0315,0.0353,0.0427
0.367,0.4234,0.6534,0.042,0.1277,0.0603,0.0768,0.0775,0.1024,0.863,0.9438,0.9987,0.0602,0.0801,0.0907,0.203562,0.023705304,8.46e-05,-0.12836184,-0.77940449,0.0113,0.0154,0.019,0.0217,0.0248,0.0263,0.0296,0.0319,0.0357,0.0439
0.3831,0.4916,0.7473,0.0433,0.1115,0.0632,0.0677,0.0818,0.0978,0.8408,0.8607,0.9913,0.0503,0.0632,0.0748,0.119386,0.017197915,5.44e-05,-0.029372611,-0.954503739,0.0062,0.0107,0.0121,0.0156,0.017,0.0198,0.0213,0.0253,0.0269,0.0335
0.4107,0.4256,0.7727,0.0357,0.1101,0.0475,0.0763,0.0819,0.0989,0.9211,0.8177,0.8185,0.0669,0.0836,0.0906,0.158149,0.018733483,5.25e-05,0.01072076,-0.664647232,0.0102,0.0113,0.0153,0.0163,0.0198,0.0208,0.0226,0.0257,0.0279,0.0377
0.3954,0.4086,0.6872,0.0367,0.1254,0.0556,0.0689,0.0849,0.1092,0.9101,0.863,0.8933,0.056,0.0759,0.0984,0.188966,0.022552334,8.04e-05,0.034986045,-0.674631743,0.0112,0.0153,0.0167,0.02,0.0225,0.0258,0.0277,0.031,0.0352,0.0447
0.3855,0.4677,0.6977,0.043,0.1303,0.059,0.079,0.0833,0.1143,0.9519,0.9834,0.8449,0.0504,0.0593,0.0666,0.138202,0.019022549,6.32e-05,-0.047719274,-0.860166429,0.0097,0.0108,0.0148,0.0159,0.0196,0.021,0.0243,0.0262,0.0298,0.0364
0.361,0.4987,0.5824,0.0404,0.1114,0.0496,0.0693,0.0826,0.0994,0.885,0.8478,0.9843,0.0743,0.0799,0.0801,0.133624,0.017432272,6.67e-05,0.2943331,-0.457510788,0.0064,0.0103,0.012,0.0152,0.0166,0.0202,0.0216,0.0246,0.0276,0.0427
0.3851,0.4956,0.8614,0.0483,0.1335,0.0632,0.0704,0.0989,0.123,0.9566,0.863,0.9315,0.0599,0.0838,0.0967,0.109292,0.021858254,6.91e-05,0.10323083,-0.48732185,0.0112,0.0151,0.0164,0.0207,0.0219,0.0248,0.0262,0.0292,0.0324,0.0439
0.3545,0.4062,0.7491,0.0397,0.1321,0.067,0.0695,0.0971,0.1214,0.8124,0.908,0.8458,0.0561,0.0681,0.0798,0.226503,0.028888071,9.99e-05,-0.114169806,-0.595439633,0.0155,0.0199,0.0232,0.0257,0.0291,0.0319,0.0351,0.0381,0.0419,0.0512
0.3733,0.4516,0.8005,0.0352,0.1326,0.0449,0.073,0.0806,0.1104,0.9771,0.8012,0.826,0.0579,0.0649,0.0777,0.168497,0.019170839,5.07e-05,-0.031733975,-0.627929198,0.0098,0.0119,0.0149,0.0167,0.0196,0.0209,0.0241,0.0257,0.0285,0.0403
0.3667,0.4813,0.6154,0.0418,0.1447,0.0488,0.0835,0.0934,0.1259,0.858,0.8345,0.8517,0.0556,0.0603,0.0811,0.14177,0.021635241,0.000114713,0.386327835,-0.388048354,0.0074,0.0117,0.0158,0.0176,0.0213,0.0251,0.027,0.0311,0.0366,0.055
0.3882,0.4925,0.6646,0.0457,0.1236,0.0601,0.0675,0.0791,0.1107,0.8161,0.8735,0.8078,0.0614,0.0634,0.0978,0.112747,0.017222312,6.46e-05,0.216329358,-0.633948509,0.0063,0.0098,0.0117,0.0147,0.0165,0.0196,0.0213,0.025,0.0279,0.0403
0.3577,0.4685,0.5431,0.0487,0.1351,0.0567,0.0782,0.0991,0.1154,0.8441,0.8477,0.8019,0.062,0.0633,0.0724,0.164694,0.023568059,0.000131253,0.320524217,-0.465106378,0.0084,0.0126,0.016,0.0195,0.0228,0.0255,0.0296,0.0341,0.0394,0.0579
