Porosity,Mean,Variance,Skew,Kurtosis,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,Unnamed: 15,Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Input13,Input14,Input15
0.148376,0.021816835,6.107363485418036e-05,-0.11516085,-0.680760764,0.0115,0.0143,0.0174,0.0198,0.0219,0.0244,0.0267,0.029,0.032,0.0402,,0.4019942453398893,0.4043295187430035,0.5897877833678303,0.04673548164558287,0.11458926221179627,0.07321983875097678,0.08771281468948945,0.099213165868865,0.10593758745045027,0.8445109859975111,0.9290990344794764,0.8279629884036318,0.0861853777838865,0.0955711188770012,0.08131839886680547
0.145053,0.019930704,6.290889235362987e-05,-0.024589966,-0.780578485,0.0094,0.012,0.0152,0.0175,0.0202,0.0223,0.0249,0.0272,0.0307,0.0369,,0.373817294311041,0.4252499528402537,0.9042401758419661,0.047248504031658575,0.12742740431524555,0.06775415799156909,0.10187188409150959,0.09806683548025143,0.11276338136843267,0.9579191660326511,0.9833241724895004,0.8994520709436691,0.08107214010908673,0.09698346644721866,0.06643987803300196
0.143195,0.019118545,7.074885540275385e-05,-0.094956055,-0.841880575,0.0068,0.0111,0.0141,0.0172,0.0193,0.0224,0.0244,0.027,0.0303,0.0388,,0.40385565530720635,0.4892211782141664,0.710712859454572,0.039442497911914905,0.13392526565404647,0.056725140264360166,0.07908722047795057,0.08425343628532608,0.11206347816974371,0.9311241199305038,0.810007613776353,0.8539388956537278,0.07708275501545557,0.09338278126568512,0.08988828813392254
0.143636,0.019263042,7.549240750353405e-05,0.065676525,-0.653488987,0.0071,0.0111,0.0141,0.0166,0.0196,0.022,0.0242,0.0272,0.0308,0.0416,,0.4067835713645702,0.4683530456449624,0.8564370822261159,0.04487143756323166,0.12543342869531549,0.05043638313551162,0.06806715828292048,0.09605049916507405,0.1339489567423964,0.8575875773421744,0.8668612220558627,0.84370156507676,0.06302816012934748,0.06411721801735928,0.060117800307583694
0.144492,0.018988252,5.572121496308618e-05,-0.017274706,-0.783463723,0.009,0.0116,0.0146,0.0167,0.0193,0.0212,0.0233,0.026,0.0291,0.0372,,0.4148927429662502,0.4044077614113018,0.8195969805176846,0.03841491608093329,0.13135999982331006,0.08205502804339417,0.08092501487275833,0.09875215483032086,0.12890930679666998,0.9164713611801427,0.970331641084904,0.8428757931686498,0.07903031816026475,0.06924784249677014,0.0853904094462303
0.143446,0.020045611,5.859515609476777e-05,-0.04416369,-0.820718989,0.0097,0.0128,0.0152,0.0175,0.0201,0.0223,0.0248,0.0275,0.0305,0.0363,,0.40309076019048923,0.47570819951646576,0.83591061472326,0.046754746418199926,0.14012768646878804,0.07908847302012151,0.07624477381522168,0.11670969373732266,0.12245178343968344,0.9415886439653006,0.8116162369591606,0.9227736870616853,0.05446049928301372,0.08397786267727791,0.0911631188893125
0.144348,0.02208263,8.570416285183281e-05,0.2383927803026848,-0.479625536,0.0101,0.0133,0.0162,0.0187,0.0215,0.0243,0.0273,0.0309,0.0348,0.0481,,0.37586649592258947,0.4782225545985757,0.8704382128621818,0.03984453508633101,0.14658070195378484,0.05112806291977092,0.10258524011229515,0.09952714281494446,0.10572681083661983,0.9287317036675165,0.9924446338923932,0.9295028192908351,0.06329488177849085,0.06799472656012677,0.05892172334381958
0.144228,0.019174827,6.19142679109898e-05,0.09291605,-0.639061309,0.0083,0.0125,0.0145,0.0167,0.0188,0.0216,0.0239,0.0263,0.0299,0.0424,,0.35307664964483626,0.43744452447917836,0.6956925682682025,0.04230795102436101,0.11685896641964257,0.08376600689191722,0.07647616534350236,0.09913740966701395,0.13159940286036076,0.8372741153588997,0.926024511301999,0.8529390537256393,0.07742411607480408,0.05960747396932173,0.09677815156457815
0.143927,0.020572533,7.262837258017598e-05,0.1330055830845339,-0.661687683,0.009,0.0121,0.0156,0.0178,0.0201,0.0229,0.0258,0.0286,0.0319,0.0436,,0.3619108362835942,0.4871720058705961,0.7309803423394752,0.048237258310456874,0.11928615256152916,0.05977829278192755,0.08240550503775955,0.09565439521901857,0.1267264290119186,0.9968918558623138,0.9438406406250771,0.8163831114355902,0.0683442179965715,0.06711214053119412,0.07831187596047874
0.138977,0.019556756,7.569882613852135e-05,-0.022723979,-0.77653403,0.0072,0.0115,0.0144,0.0169,0.0197,0.0225,0.0248,0.0275,0.0313,0.0419,,0.40697594912306606,0.4426716401891056,0.7877055531285989,0.03815008268771727,0.1490616559084147,0.06933499577094542,0.09545328203799308,0.0830208693399148,0.1280573745502854,0.8502513707144013,0.8074905493026996,0.8083062130413954,0.07416029685408174,0.05397780080474645,0.06491477233397666
0.168963,0.022400233,9.663270595986432e-05,0.016467857,-0.651308077,0.0092,0.0131,0.0164,0.0194,0.0223,0.0254,0.0283,0.0316,0.0353,0.0483,,0.416643664735425,0.4256662286315007,0.8194982775789481,0.03941341012544279,0.1187868951537019,0.07445312838560725,0.09909529406341405,0.09834454238073692,0.13369234930668042,0.9745447948812712,0.835217459815093,0.9069168854247204,0.07965649305624779,0.05544146700981556,0.09551786990731609
