Porosity,Mean,Variance,Skew,Kurtosis,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,Unnamed: 15,Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Input13,Input14,Input15
0.148376,0.021816835,6.107363485418036e-05,-0.11516085,-0.680760764,0.0115,0.0143,0.0174,0.0198,0.0219,0.0244,0.0267,0.029,0.032,0.0402,,0.37486894413453536,0.413730560056214,0.6435710840368795,0.040270709518241694,0.12033019573914575,0.056487259954436084,0.09418802870036201,0.11109986501311801,0.11983296492510244,0.8401691073802121,0.9778126894703114,0.8293706793413962,0.08427662269872979,0.09364428951048287,0.07719950554506101
0.145053,0.019930704,6.290889235362987e-05,-0.024589966,-0.780578485,0.0094,0.012,0.0152,0.0175,0.0202,0.0223,0.0249,0.0272,0.0307,0.0369,,0.36821218487339885,0.4948602609835113,0.678624087723085,0.04705713364477838,0.13756296911839072,0.05098171663942294,0.0732934437157519,0.09865649927468123,0.11879684064444525,0.8898841085879601,0.8803159796083561,0.9540005991379743,0.054417976787675244,0.08428692089548587,0.07490528528405598
0.143195,0.019118545,7.074885540275385e-05,-0.094956055,-0.841880575,0.0068,0.0111,0.0141,0.0172,0.0193,0.0224,0.0244,0.027,0.0303,0.0388,,0.37740672352265914,0.4988552574057715,0.8306541787860299,0.035646388329908005,0.13314800610820515,0.07034030947689544,0.0894247421576697,0.1030596145268046,0.09805444292440246,0.8563291071129598,0.9107107983906506,0.8166560923747452,0.08809470332062695,0.060409430477638824,0.05882649463340293
0.143636,0.019263042,7.549240750353405e-05,0.065676525,-0.653488987,0.0071,0.0111,0.0141,0.0166,0.0196,0.022,0.0242,0.0272,0.0308,0.0416,,0.3944217124051746,0.48703536115921414,0.5113147088149822,0.036565572530050994,0.11482645128843953,0.05202564870976897,0.09559242234509656,0.08235962308967672,0.09906770494941748,0.8851080130655933,0.894873737392986,0.8844036894140719,0.0719545160996069,0.08032415255516835,0.06988019574160358
0.144492,0.018988252,5.572121496308618e-05,-0.017274706,-0.783463723,0.009,0.0116,0.0146,0.0167,0.0193,0.0212,0.0233,0.026,0.0291,0.0372,,0.4056498720640133,0.4620088416768267,0.5830287097225039,0.04606978540269414,0.1172206788007992,0.06919075695603616,0.0763315130093172,0.09360122266120091,0.11953450002379723,0.8086275520021801,0.9896721670043866,0.9584134664724526,0.07752807835819511,0.07338500759666222,0.07870546143281237
0.143446,0.020045611,5.859515609476777e-05,-0.04416369,-0.820718989,0.0097,0.0128,0.0152,0.0175,0.0201,0.0223,0.0248,0.0275,0.0305,0.0363,,0.3748693135884084,0.4217769566516632,0.7321499847851883,0.04398119556598656,0.1231780669311445,0.0847717369783187,0.06989450115636207,0.11280420292841774,0.13289534070134668,0.8819992564108807,0.9622221773360552,0.8763833723753803,0.05641510738014686,0.07646942336415016,0.078883910966643
0.144348,0.02208263,8.570416285183281e-05,0.2383927803026848,-0.479625536,0.0101,0.0133,0.0162,0.0187,0.0215,0.0243,0.0273,0.0309,0.0348,0.0481,,0.38475738324822056,0.47234918878007365,0.899816805763878,0.041384256089073625,0.11498126195510497,0.05231600316762399,0.09900148237389401,0.09397126964235925,0.09837051244610813,0.8142438900874819,0.8284863248991073,0.921663680112642,0.08828496448792154,0.0779454075446811,0.09444850758133366
0.144228,0.019174827,6.19142679109898e-05,0.09291605,-0.639061309,0.0083,0.0125,0.0145,0.0167,0.0188,0.0216,0.0239,0.0263,0.0299,0.0424,,0.396340863528273,0.46953459073686993,0.8843821079219528,0.03962357084633968,0.13438381005192118,0.07466482467069,0.09339901600752844,0.0849000377432423,0.12486707898519131,0.8562729333261556,0.8512229525278522,0.9548320562251793,0.09029038469570407,0.06748657722553858,0.07374905779655844
0.143927,0.020572533,7.262837258017598e-05,0.1330055830845339,-0.661687683,0.009,0.0121,0.0156,0.0178,0.0201,0.0229,0.0258,0.0286,0.0319,0.0436,,0.4022022814702817,0.45099474279195445,0.8181238774821159,0.04071158533738588,0.1155330720923251,0.07429538538083576,0.08144138772090481,0.11189026005335716,0.1307823748300612,0.9350100429754148,0.9251069298371645,0.8242015799075098,0.08046590316669784,0.0794462757943221,0.07956132957721034
0.138977,0.019556756,7.569882613852135e-05,-0.022723979,-0.77653403,0.0072,0.0115,0.0144,0.0169,0.0197,0.0225,0.0248,0.0275,0.0313,0.0419,,0.41260602982081745,0.4498856831977282,0.5975767445768262,0.041193830206266345,0.13793591346319445,0.05561006935397548,0.09411608056652067,0.10597307532579384,0.13047619273549987,0.9004873944755812,0.9091760284773021,0.9200887127907046,0.05524140080328502,0.09709567320463887,0.0790362343959817
0.168963,0.022400233,9.663270595986432e-05,0.016467857,-0.651308077,0.0092,0.0131,0.0164,0.0194,0.0223,0.0254,0.0283,0.0316,0.0353,0.0483,,0.4144654206924815,0.40424493895315683,0.6931562278219806,0.04522220485603721,0.14091941485830384,0.08177226568444443,0.07764779794278022,0.09679055919896638,0.10123347207707442,0.8211016324593904,0.9738104762678651,0.9826322864244034,0.061516617417718016,0.0828125169529335,0.08615671406187023
0.159887,0.021900896,7.235145120106887e-05,-0.057779967,-0.816059933,0.0109,0.0138,0.0165,0.0198,0.0221,0.0244,0.0274,0.0302,0.0331,0.0415,,0.3921180077328717,0.42921105853911984,0.8470023276745503,0.03568809965952204,0.14380346873439995,0.07438995242622859,0.0912416722789173,0.09056002939330106,0.12357830636735492,0.9353548119588597,0.8870882091278629,0.896028961992767,0.06380531691689859,0.06212972887501258,0.09834417844592798
0.156643,0.019351934,7.010060873801408e-05,-0.034054654,-0.760573297,0.0074,0.0117,0.0141,0.0172,0.0197,0.0219,0.0246,0.027,0.0303,0.0402,,0.39113172282013803,0.49014908909722366,0.8684424623433551,0.038294620684591094,0.1388046281322733,0.08530279749896945,0.09989225853899786,0.1159554933135834,0.12169252207696961,0.9860169359946871,0.8829433545376786,0.8494255054843998,0.09064935234729206,0.06248951737248752,0.07042245792714216
0.170658,0.022313049,7.657815380086101e-05,0.086274599,-0.497607705,0.0105,0.0138,0.0168,0.0196,0.0223,0.0251,0.0276,0.0301,0.0334,0.0476,,0.36316905853827336,0.49589748589163624,0.7293643475224104,0.0385668660564206,0.13298582494805028,0.05825983516566076,0.07315890213339911,0.10820750975450988,0.10413914351201654,0.9574778104094744,0.8980653463177258,0.9281594857246763,0.07601418751161428,0.06058636197753304,0.061052509664726265
0.159706,0.021239714,7.869483642147283e-05,0.077556192,-0.751754988,0.0098,0.0131,0.0156,0.0185,0.0214,0.0235,0.0262,0.0297,0.0334,0.0415,,0.38099532352065674,0.4241584764833894,0.9355648300221628,0.03617058169288072,0.14315989030611811,0.0811314441083779,0.07713219550307635,0.09620416622124883,0.12084538404672558,0.860874374730773,0.8886745482156486,0.9823036997563543,0.052956683371226984,0.08959675032506793,0.07674351360146274
0.155854,0.023297331,0.000104679,-0.018935041,-0.736927542,0.0095,0.0135,0.017,0.0202,0.0233,0.0264,0.03,0.033,0.0367,0.0482,,0.3815393499651136,0.4631779302804334,0.8941588333309354,0.04494808431054411,0.11775149226337715,0.08212765108201464,0.09718692766076993,0.09930287769195388,0.1026229243751608,0.9739869936400307,0.8535981621677378,0.9199120119790967,0.07161234220586352,0.09162226442502562,0.08955866203773549
0.168915,0.02416885,9.574447535839792e-05,0.021073923,-0.803865995,0.0108,0.0147,0.0179,0.0216,0.0242,0.0271,0.0302,0.0334,0.0372,0.0465,,0.40933119155091086,0.4498511900981973,0.5161957297206042,0.04678216167249442,0.13492716258585374,0.07515878801846772,0.07005889703745824,0.08125560327715396,0.11485474730251982,0.9632324397041325,0.9283465955050367,0.8798992609832924,0.06544118463910145,0.06993583060827446,0.09614269693912025
0.169237,0.022688874,0.000104464,0.015589956,-0.799736651,0.0091,0.013,0.0165,0.0195,0.0225,0.0256,0.0288,0.0323,0.037,0.0491,,0.39187857713081425,0.4681337878058129,0.6106585546522882,0.04695565055730901,0.1384106645578746,0.06489272805531819,0.09744319556206714,0.08297033887934976,0.11424046895268278,0.8429512815045098,0.921717447121087,0.8822457621501854,0.08053137740069048,0.09446157321109154,0.08241286004500284
0.157203,0.020896848,8.698690965096188e-05,0.044186583,-0.696123766,0.008,0.0117,0.0157,0.0183,0.0209,0.0234,0.0262,0.0292,0.0337,0.0437,,0.3607821872350621,0.4234001701131085,0.9363550778744452,0.04937209162453885,0.14564326625027177,0.060969155731315075,0.09317912369296044,0.11504248163043661,0.12157696679388474,0.9572609239131332,0.9806436059033034,0.8927677358677945,0.07889914490583419,0.09715538025596222,0.0953487767787064
0.167221,0.022284587,8.643333355395567e-05,0.025984553,-0.76926102,0.0095,0.0134,0.0165,0.02,0.0225,0.025,0.0277,0.0311,0.0346,0.0461,,0.3670817572361215,0.417663140985258,0.8604835225711195,0.04167670585969213,0.14877667308920564,0.06039675484255895,0.07020686585233013,0.10679863815404943,0.0996140182149582,0.8953444900813105,0.8518900681867686,0.8752385190731659,0.08083677364551148,0.06330041474777579,0.07401045442845856
0.187305,0.022294724,8.674318824545382e-05,-0.099729555,-0.812041369,0.0089,0.0138,0.0166,0.0197,0.0227,0.0251,0.028,0.0314,0.0345,0.0419,,0.3762809641104134,0.4136244842975737,0.7097368059685343,0.03970912857883366,0.13539449685295563,0.07628991167146074,0.07242864429228753,0.11899699918074244,0.09792436874980368,0.8340411469658018,0.8755519409580086,0.916668629440077,0.06781388058208886,0.06597675211250796,0.09049079584875205
