,RVE_ID,,Porosity,,Mean,Variance,Skew,Kurtosis,P0,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CELL_i03351_k01_seed1815338937_void_mask.tif,3351,1,0.142643,14.264,0.019303965,6.34E-05,-0.0857941,-0.8299454,0.005,0.01,0.0111,0.0153,0.0168,0.0203,0.0213,0.025,0.0263,0.0299,0.0377,0.00581873,0.08582893,0.00745619,0.0097306,0.00909365,0.00049424,0.010731105,0.140071087,0.012368564,0.015758775,0.014006022,0.00708413,0.01564348,0.130109136,0.017280939,0.054805625,0.018918398,0.0055795,0.020555856,0.158929388,0.02219331,0.05235369,0.023830773,0.014790447,0.025468232,0.123780388,0.027105691,0.05449366,0.02874315,0.03731963,0.03038061,0.041874718,0.03201807,0.03638636,0.03365552,0.01154983,0.03529298,0.01547134,0.03693044,0.00358851
CELL_i03352_k01_seed1457868183_void_mask.tif,3352,1,0.16852,16.852,0.024604272,0.00012198,0.04868651,-0.7744658,0.005,0.0103,0.0146,0.0181,0.0212,0.0244,0.0277,0.0313,0.0347,0.0398,0.0512,0.00615587,0.07373919,0.00846761,0.00026184,0.010779344,0.09522036,0.013091082,0.015088747,0.01540282,0.09135954,0.01771456,0.03713217,0.020026296,0.08738596,0.022338033,0.06262179,0.024649771,0.09244991,0.02696151,0.054289671,0.029273247,0.061230257,0.03158498,0.08122867,0.033896722,0.057398359,0.03620846,0.05524579,0.0385202,0.03204078,0.040831936,0.050715162,0.043143673,0.017218321,0.045455411,0.01469636,0.047767149,0.014987869,0.050078887,0.00568925
CELL_i03353_k01_seed164639667_void_mask.tif,3353,1,0.187982,18.798,0.026095415,8.37E-05,-0.0556562,-0.4652464,0.005,0.0144,0.0177,0.0203,0.0236,0.026,0.0289,0.0316,0.0347,0.0378,0.0497,0.00611873,0.022540662,0.0083562,2.19E-05,0.010593671,0.051167,0.01283114,0.00785512,0.015068608,0.09319551,0.01730608,0.03826952,0.01954355,0.106335031,0.021781014,0.05348171,0.02401848,0.08404506,0.02625595,0.110604711,0.02849342,0.04771455,0.030730888,0.0930971,0.032968356,0.06809543,0.03520582,0.09010613,0.03744329,0.051909087,0.03968076,0.04102842,0.04191823,0.01664916,0.0441557,0.0093792,0.04639317,0.00825077,0.04863064,0.00625391
CELL_i03354_k01_seed730362692_void_mask.tif,3354,1,0.14531,14.531,0.019958459,8.17E-05,0.0623848,-0.8363635,0.005,0.0068,0.0113,0.0149,0.0166,0.0206,0.0219,0.025,0.0278,0.0322,0.0424,0.00593566,0.102768903,0.00780698,0.010309837,0.0096783,0.05338491,0.011549621,0.09391371,0.013420941,0.00578676,0.015292261,0.12298599,0.017163582,0.05048938,0.0190349,0.00664612,0.020906222,0.152935701,0.022777542,0.03276954,0.02464886,0.101711682,0.026520183,0.06030201,0.028391503,0.03167963,0.03026282,0.05188639,0.032134144,0.041714194,0.03400546,0.014273769,0.035876784,0.04865538,0.0377481,0.00650161,0.03961942,0.00947542,0.041490745,0.00180906
CELL_i03355_k01_seed1140250585_void_mask.tif,3355,1,0.130932,13.093,0.01813742,6.86E-05,0.0748753,-0.8985965,0.005,0.0063,0.0106,0.0121,0.0159,0.0179,0.0209,0.0231,0.0261,0.0296,0.0381,0.00582697,0.123836946,0.00748091,0.012017666,0.00913486,0.00050312,0.010788802,0.158506594,0.012442745,0.018128651,0.01409669,0.00742369,0.015750631,0.13405979,0.017404575,0.05549244,0.019058518,0.00685851,0.02071246,0.141890176,0.022366405,0.04413638,0.024020348,0.012414818,0.02567429,0.113189264,0.027328235,0.0438366,0.02898218,0.031289083,0.030636121,0.028211155,0.03229006,0.038536151,0.03394401,0.01486647,0.03559795,0.011686387,0.03725189,0.00311612
CELL_i03356_k01_seed15650704_void_mask.tif,3356,1,0.178304,17.83,0.02455701,0.00010568,0.014014611,-0.6210793,0.005,0.0106,0.0151,0.019,0.0218,0.0245,0.0272,0.0306,0.0342,0.0381,0.051,0.00614975,0.058260132,0.00844926,0.00025098,0.010748774,0.0915264,0.01304828,0.014058173,0.015347794,0.08905309,0.017647304,0.037434715,0.019946813,0.09013201,0.02224632,0.06486263,0.024545833,0.10985958,0.02684534,0.06798932,0.02914485,0.061853719,0.03144436,0.101435752,0.03374387,0.01915832,0.03604338,0.08390527,0.03834289,0.0262845,0.0406424,0.03901839,0.04294191,0.018717357,0.04524142,0.01688481,0.047540931,0.00451477,0.04984044,0.0048001
CELL_i03357_k01_seed633863576_void_mask.tif,3357,1,0.116706,11.671,0.020628452,5.40E-05,-0.1357295,-0.515064,0.005,0.0105,0.0141,0.0159,0.0195,0.0213,0.0227,0.0248,0.0267,0.0305,0.0394,0.00585925,0.047509441,0.00757775,0.00172656,0.00929625,0.04006872,0.011014757,0.06091816,0.012733259,0.016253484,0.014451761,0.10902312,0.016170263,0.06812004,0.01788876,0.040671732,0.01960727,0.035612,0.02132577,0.165871219,0.02304427,0.04822813,0.02476277,0.124612541,0.026481274,0.06362583,0.02819978,0.041212622,0.029918278,0.04285993,0.03163678,0.056436808,0.03335528,0.011096283,0.03507378,0.019362799,0.03679229,0.00359344,0.03851079,0.00319714
CELL_i03358_k01_seed1855988998_void_mask.tif,3358,1,0.099892,9.989,0.0176179,6.62E-05,0.09828172,-0.906837,0.005,0.0062,0.0104,0.0114,0.0155,0.0171,0.0204,0.022,0.0256,0.0288,0.0377,0.00581873,0.133851479,0.00745619,0.012712543,0.00909365,0.00047552,0.010731105,0.163767688,0.012368564,0.01989033,0.014006022,0.00796239,0.01564348,0.139675298,0.017280939,0.056739062,0.018918398,0.00657463,0.020555856,0.141353368,0.02219331,0.045204046,0.023830773,0.011471196,0.025468232,0.107559202,0.027105691,0.038172667,0.02874315,0.02587057,0.03038061,0.03925509,0.03201807,0.032036009,0.03365552,0.00892343,0.03529298,0.00337116,0.03693044,0.00513432
CELL_i03359_k01_seed1741715783_void_mask.tif,3359,1,0.159394,15.939,0.02623717,9.26E-05,-0.095798,-0.7375875,0.005,0.0135,0.0171,0.021,0.0243,0.0261,0.0296,0.0321,0.0358,0.039,0.0477,0.00606742,0.02323402,0.00820227,0.00010744,0.01033712,0.06815166,0.012471968,0.00882794,0.014606817,0.06800737,0.016741665,0.04690093,0.018876513,0.014558219,0.02101136,0.138484233,0.023146209,0.028032649,0.02528106,0.120440166,0.02741591,0.05493524,0.02955075,0.05639937,0.0316856,0.104162942,0.03382045,0.0244872,0.0359553,0.0982468,0.038090146,0.04909282,0.04022499,0.055055225,0.04235984,0.01714065,0.04449469,0.017237891,0.04662954,0.00649724
CELL_i03360_k01_seed1290502888_void_mask.tif,3360,1,0.122952,12.295,0.016854774,6.22E-05,0.234028448,-0.6592765,0.005,0.0062,0.0094,0.0111,0.014,0.0157,0.0194,0.0212,0.0237,0.0275,0.0384,0.00583514,0.142694623,0.00750543,0.014359233,0.00917572,0.07053958,0.010846002,0.106745708,0.01251629,0.020765175,0.014186575,0.120866027,0.015856862,0.06299092,0.017527148,0.033602476,0.019197435,0.043485377,0.020867721,0.118928283,0.02253801,0.051656232,0.024208294,0.06428309,0.02587858,0.03562155,0.02754887,0.02812576,0.02921915,0.02579965,0.03088944,0.01987967,0.032559726,0.022841184,0.03423001,0.00508429,0.0359003,0.00595963,0.037570585,0.00577155
