Filename,i_index,k_index,Porosity,Porosity_pct,Mean,Variance,Skew,Kurtosis,P0,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,Radius_bin_1,VolFrac_bin_1,Radius_bin_2,VolFrac_bin_2,Radius_bin_3,VolFrac_bin_3,Radius_bin_4,VolFrac_bin_4,Radius_bin_5,VolFrac_bin_5,Radius_bin_6,VolFrac_bin_6,Radius_bin_7,VolFrac_bin_7,Radius_bin_8,VolFrac_bin_8,Radius_bin_9,VolFrac_bin_9,Radius_bin_10,VolFrac_bin_10,Radius_bin_11,VolFrac_bin_11,Radius_bin_12,VolFrac_bin_12,Radius_bin_13,VolFrac_bin_13,Radius_bin_14,VolFrac_bin_14,Radius_bin_15,VolFrac_bin_15,Radius_bin_16,VolFrac_bin_16,Radius_bin_17,VolFrac_bin_17,Radius_bin_18,VolFrac_bin_18,Radius_bin_19,VolFrac_bin_19,Radius_bin_20,VolFrac_bin_20
CELL_i03351_k01_seed1815338937_void_mask.tif,3351,1,0.142643,14.264,0.01930397,6.34E-05,-0.0857941,-0.8299454,0.005,0.01,0.0111,0.0153,0.0168,0.0203,0.0213,0.025,0.0263,0.0299,0.0377,0.00581873,0.08582893,0.00745619,0.0097306,0.00909365,0.00049424,0.01073111,0.14007109,0.01236856,0.01575878,0.01400602,0.00708413,0.01564348,0.13010914,0.01728094,0.05480563,0.0189184,0.0055795,0.02055586,0.15892939,0.02219331,0.05235369,0.02383077,0.01479045,0.02546823,0.12378039,0.02710569,0.05449366,0.02874315,0.03731963,0.03038061,0.04187472,0.03201807,0.03638636,0.03365552,0.01154983,0.03529298,0.01547134,0.03693044,0.00358851
CELL_i03352_k01_seed1457868183_void_mask.tif,3352,1,0.16852,16.852,0.02460427,0.00012198,0.04868651,-0.7744658,0.005,0.0103,0.0146,0.0181,0.0212,0.0244,0.0277,0.0313,0.0347,0.0398,0.0512,0.00615587,0.07373919,0.00846761,0.00026184,0.01077934,0.09522036,0.01309108,0.01508875,0.01540282,0.09135954,0.01771456,0.03713217,0.0200263,0.08738596,0.02233803,0.06262179,0.02464977,0.09244991,0.02696151,0.05428967,0.02927325,0.06123026,0.03158498,0.08122867,0.03389672,0.05739836,0.03620846,0.05524579,0.0385202,0.03204078,0.04083194,0.05071516,0.04314367,0.01721832,0.04545541,0.01469636,0.04776715,0.01498787,0.05007889,0.00568925
CELL_i03353_k01_seed164639667_void_mask.tif,3353,1,0.187982,18.798,0.02609542,8.37E-05,-0.0556562,-0.4652464,0.005,0.0144,0.0177,0.0203,0.0236,0.026,0.0289,0.0316,0.0347,0.0378,0.0497,0.00611873,0.02254066,0.0083562,2.19E-05,0.01059367,0.051167,0.01283114,0.00785512,0.01506861,0.09319551,0.01730608,0.03826952,0.01954355,0.10633503,0.02178101,0.05348171,0.02401848,0.08404506,0.02625595,0.11060471,0.02849342,0.04771455,0.03073089,0.0930971,0.03296836,0.06809543,0.03520582,0.09010613,0.03744329,0.05190909,0.03968076,0.04102842,0.04191823,0.01664916,0.0441557,0.0093792,0.04639317,0.00825077,0.04863064,0.00625391
CELL_i03354_k01_seed730362692_void_mask.tif,3354,1,0.14531,14.531,0.01995846,8.17E-05,0.0623848,-0.8363635,0.005,0.0068,0.0113,0.0149,0.0166,0.0206,0.0219,0.025,0.0278,0.0322,0.0424,0.00593566,0.1027689,0.00780698,0.01030984,0.0096783,0.05338491,0.01154962,0.09391371,0.01342094,0.00578676,0.01529226,0.12298599,0.01716358,0.05048938,0.0190349,0.00664612,0.02090622,0.1529357,0.02277754,0.03276954,0.02464886,0.10171168,0.02652018,0.06030201,0.0283915,0.03167963,0.03026282,0.05188639,0.03213414,0.04171419,0.03400546,0.01427377,0.03587678,0.04865538,0.0377481,0.00650161,0.03961942,0.00947542,0.04149075,0.00180906
CELL_i03355_k01_seed1140250585_void_mask.tif,3355,1,0.130932,13.093,0.01813742,6.86E-05,0.0748753,-0.8985965,0.005,0.0063,0.0106,0.0121,0.0159,0.0179,0.0209,0.0231,0.0261,0.0296,0.0381,0.00582697,0.12383695,0.00748091,0.01201767,0.00913486,0.00050312,0.0107888,0.15850659,0.01244275,0.01812865,0.01409669,0.00742369,0.01575063,0.13405979,0.01740458,0.05549244,0.01905852,0.00685851,0.02071246,0.14189018,0.02236641,0.04413638,0.02402035,0.01241482,0.02567429,0.11318926,0.02732824,0.0438366,0.02898218,0.03128908,0.03063612,0.02821116,0.03229006,0.03853615,0.03394401,0.01486647,0.03559795,0.01168639,0.03725189,0.00311612
CELL_i03356_k01_seed15650704_void_mask.tif,3356,1,0.178304,17.83,0.02455701,0.00010568,0.01401461,-0.6210793,0.005,0.0106,0.0151,0.019,0.0218,0.0245,0.0272,0.0306,0.0342,0.0381,0.051,0.00614975,0.05826013,0.00844926,0.00025098,0.01074877,0.0915264,0.01304828,0.01405817,0.01534779,0.08905309,0.0176473,0.03743472,0.01994681,0.09013201,0.02224632,0.06486263,0.02454583,0.10985958,0.02684534,0.06798932,0.02914485,0.06185372,0.03144436,0.10143575,0.03374387,0.01915832,0.03604338,0.08390527,0.03834289,0.0262845,0.0406424,0.03901839,0.04294191,0.01871736,0.04524142,0.01688481,0.04754093,0.00451477,0.04984044,0.0048001
CELL_i03357_k01_seed633863576_void_mask.tif,3357,1,0.116706,11.671,0.02062845,5.40E-05,-0.1357295,-0.515064,0.005,0.0105,0.0141,0.0159,0.0195,0.0213,0.0227,0.0248,0.0267,0.0305,0.0394,0.00585925,0.04750944,0.00757775,0.00172656,0.00929625,0.04006872,0.01101476,0.06091816,0.01273326,0.01625348,0.01445176,0.10902312,0.01617026,0.06812004,0.01788876,0.04067173,0.01960727,0.035612,0.02132577,0.16587122,0.02304427,0.04822813,0.02476277,0.12461254,0.02648127,0.06362583,0.02819978,0.04121262,0.02991828,0.04285993,0.03163678,0.05643681,0.03335528,0.01109628,0.03507378,0.0193628,0.03679229,0.00359344,0.03851079,0.00319714
CELL_i03358_k01_seed1855988998_void_mask.tif,3358,1,0.099892,9.989,0.0176179,6.62E-05,0.09828172,-0.906837,0.005,0.0062,0.0104,0.0114,0.0155,0.0171,0.0204,0.022,0.0256,0.0288,0.0377,0.00581873,0.13385148,0.00745619,0.01271254,0.00909365,0.00047552,0.01073111,0.16376769,0.01236856,0.01989033,0.01400602,0.00796239,0.01564348,0.1396753,0.01728094,0.05673906,0.0189184,0.00657463,0.02055586,0.14135337,0.02219331,0.04520405,0.02383077,0.0114712,0.02546823,0.1075592,0.02710569,0.03817267,0.02874315,0.02587057,0.03038061,0.03925509,0.03201807,0.03203601,0.03365552,0.00892343,0.03529298,0.00337116,0.03693044,0.00513432
CELL_i03359_k01_seed1741715783_void_mask.tif,3359,1,0.159394,15.939,0.02623717,9.26E-05,-0.095798,-0.7375875,0.005,0.0135,0.0171,0.021,0.0243,0.0261,0.0296,0.0321,0.0358,0.039,0.0477,0.00606742,0.02323402,0.00820227,0.00010744,0.01033712,0.06815166,0.01247197,0.00882794,0.01460682,0.06800737,0.01674167,0.04690093,0.01887651,0.01455822,0.02101136,0.13848423,0.02314621,0.02803265,0.02528106,0.12044017,0.02741591,0.05493524,0.02955075,0.05639937,0.0316856,0.10416294,0.03382045,0.0244872,0.0359553,0.0982468,0.03809015,0.04909282,0.04022499,0.05505523,0.04235984,0.01714065,0.04449469,0.01723789,0.04662954,0.00649724
CELL_i03360_k01_seed1290502888_void_mask.tif,3360,1,0.122952,12.295,0.01685477,6.22E-05,0.23402845,-0.6592765,0.005,0.0062,0.0094,0.0111,0.014,0.0157,0.0194,0.0212,0.0237,0.0275,0.0384,0.00583514,0.14269462,0.00750543,0.01435923,0.00917572,0.07053958,0.010846,0.10674571,0.01251629,0.02076518,0.01418658,0.12086603,0.01585686,0.06299092,0.01752715,0.03360248,0.01919744,0.04348538,0.02086772,0.11892828,0.02253801,0.05165623,0.02420829,0.06428309,0.02587858,0.03562155,0.02754887,0.02812576,0.02921915,0.02579965,0.03088944,0.01987967,0.03255973,0.02284118,0.03423001,0.00508429,0.0359003,0.00595963,0.03757059,0.00577155
