Porosity,Mean,Variance,Skew,Kurtosis,P0,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,,Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Input13,Input14,Input15
0.170155,0.019762001,8.29E-05,0.127334693,-0.775681155,0.005,0.0067,0.0111,0.0145,0.016,0.0203,0.0219,0.0251,0.0274,0.032,0.0418,,0.4182,0.4054,0.5992,0.0378,0.117,0.0547,0.075,0.0816,0.098,0.8332,0.8996,0.9165,0.0274,0.0206,0.0388
0.087562,0.019183762,4.94E-05,-0.134697721,-0.673209201,0.005,0.0102,0.0114,0.0152,0.0167,0.0196,0.0209,0.0237,0.0258,0.0283,0.0364,,0.4419,0.4626,0.9127,0.048,0.1187,0.0531,0.0857,0.0859,0.1054,0.8937,0.8255,0.8515,0.0201,0.0352,0.043
0.116646,0.017727997,6.29E-05,0.200298114,-0.662657211,0.005,0.0066,0.0103,0.0119,0.0147,0.0169,0.0208,0.022,0.0248,0.0284,0.0394,,0.3927,0.4835,0.7774,0.039,0.1424,0.0564,0.0674,0.1045,0.1141,0.8606,0.8012,0.9513,0.0231,0.0396,0.0322
0.114975,0.02119025,5.63E-05,-0.231328295,-0.561544194,0.005,0.0106,0.015,0.0165,0.0198,0.0209,0.0241,0.0254,0.0277,0.0314,0.0367,,0.445,0.4319,0.904,0.0401,0.1425,0.0588,0.077,0.0941,0.123,0.8524,0.9376,0.8298,0.0496,0.0317,0.0297
0.181359,0.025186507,0.000123266,0.085552846,-0.789379462,0.005,0.0108,0.0151,0.0189,0.0213,0.0251,0.0284,0.0318,0.0353,0.0403,0.0524,,0.373,0.4371,0.6478,0.0442,0.1318,0.0702,0.0851,0.0963,0.1172,0.945,0.8069,0.9963,0.0203,0.0306,0.0567
0.14485,0.018374148,6.57E-05,0.037239581,-0.844484237,0.005,0.0064,0.0107,0.0147,0.0159,0.0193,0.0209,0.0238,0.0257,0.029,0.0374,,0.4355,0.4145,0.5807,0.0468,0.1458,0.0596,0.0975,0.0998,0.1228,0.8256,0.8236,0.9519,0.0235,0.0505,0.0296
0.187204,0.02686978,9.85E-05,0.029750953,-0.598148493,0.005,0.0144,0.0181,0.0206,0.0237,0.0264,0.0301,0.0322,0.036,0.0402,0.0502,,0.3919,0.4143,0.7937,0.0419,0.1258,0.0604,0.0837,0.0945,0.1182,0.8883,0.9841,0.958,0.0544,0.0387,0.0285
0.219448,0.027071313,0.000136901,0.206833286,-0.580866925,0.005,0.0115,0.0155,0.0194,0.0234,0.0262,0.0298,0.0335,0.0375,0.0429,0.0572,,0.358,0.4137,0.6212,0.0467,0.1192,0.0656,0.0675,0.1046,0.1092,0.8879,0.9833,0.8819,0.0211,0.049,0.0594
0.098073,0.021389904,0.000185312,1.178974915,1.234901223,0.005,0.0071,0.0108,0.0137,0.0158,0.0202,0.0221,0.0248,0.0304,0.0397,0.065,,0.3966,0.4953,0.5732,0.0382,0.1237,0.0548,0.0844,0.0943,0.1159,0.9162,0.8862,0.8128,0.0312,0.0356,0.0402
0.108178,0.019088047,8.30E-05,0.224673,-0.72901594,0.005,0.0066,0.0108,0.0127,0.0157,0.0201,0.0213,0.0242,0.0266,0.0318,0.0424,,0.3989,0.4826,0.7432,0.0404,0.1422,0.0676,0.076,0.0988,0.1305,0.9411,0.8136,0.9941,0.031,0.0251,0.0507
